full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,age,BMI
Monte Morris,77,11,Denver Nuggets,G,06/27/95,1.88,79.4,1588231,USA,2017,2,51,Iowa State,NBA2k20,28,22.464916251697606
Nerlens Noel,77,9,Oklahoma City Thunder,F-C,04/10/94,2.08,93.4,1882867,USA,2013,1,6,Kentucky,NBA2k20,30,21.588387573964496
Mason Plumlee,77,24,Denver Nuggets,C-F,03/05/90,2.11,108.0,14041096,USA,2013,1,22,Duke,NBA2k20,34,24.258215224276185
Jakob Poeltl,77,25,San Antonio Spurs,C-F,10/15/95,2.16,108.4,3754885,Austria,2016,1,9,Utah,NBA2k20,28,23.233882030178325
Dwight Powell,77,7,Dallas Mavericks,F-C,07/20/91,2.08,106.1,10259375,Canada,2014,2,45,Stanford,NBA2k20,32,24.523853550295854
Taurean Prince,77,2,Brooklyn Nets,F,03/22/94,2.01,99.8,3481985,USA,2016,1,12,Baylor,NBA2k20,30,24.702358852503657
Dario Saric,77,20,Phoenix Suns,F,04/08/94,2.08,98.0,3481985,Croatia,2014,1,12,,NBA2k20,30,22.65162721893491
Collin Sexton,77,2,Cleveland Cavaliers,G,01/04/99,1.85,86.2,4764960,USA,2018,1,8,Alabama,NBA2k20,25,25.18626734842951
Dennis Smith,77,5,New York Knicks,G,11/25/97,1.88,88.5,4463640,USA,2017,1,9,NC State,NBA2k20,26,25.039610683567226
Cody Zeller,77,40,Charlotte Hornets,C-F,10/05/92,2.13,104.3,14471910,USA,2013,1,4,Indiana,NBA2k20,31,22.989265798232275
Ivica Zubac,77,40,Los Angeles Clippers,C,03/18/97,2.13,120.2,6481482,Croatia,2016,2,32,,NBA2k20,27,26.493861447243717
Jarrett Culver,77,23,Minnesota Timberwolves,G,02/20/99,1.98,88.5,5813640,USA,2019,1,6,Texas Tech,NBA2k20,25,22.574227119681666
Willy Hernangomez,76,9,Charlotte Hornets,C-F,05/27/94,2.11,115.7,1676735,Spain,2015,2,35,,NBA2k20,29,25.987736124525508
Trevor Ariza,76,0,Portland Trail Blazers,F-G,06/30/85,2.03,95.3,12200000,USA,2004,2,43,UCLA,NBA2k20,38,23.12601616151812
DJ Augustin,76,14,Orlando Magic,G,11/10/87,1.8,81.6,7250000,USA,2008,1,9,Texas,NBA2k20,36,25.185185185185183
Jose Juan Barea,76,5,Dallas Mavericks,G,06/26/84,1.78,79.4,2564753,Puerto Rico,2006,Undrafted,Undrafted,Northeastern,NBA2k20,39,25.059967175861633
Michael Beasley,76,0,,F,01/09/89,2.08,106.6,3500000,USA,2008,1,2,Kansas State,NBA2k20,35,24.639423076923073
Davis Bertans,76,42,Washington Wizards,F,11/12/92,2.08,95.7,7000000,Latvia,2011,2,42,,NBA2k20,31,22.1200073964497
Avery Bradley,76,11,Los Angeles Lakers,G,11/26/90,1.91,88.5,6767000,USA,2010,1,19,Texas,NBA2k20,33,24.259203420958855
Miles Bridges,76,0,Charlotte Hornets,F,03/21/98,1.98,102.1,3755400,USA,2018,1,12,Michigan State,NBA2k20,26,26.04326089174574
Jalen Brunson,76,13,Dallas Mavericks,G,08/31/96,1.85,86.2,1416852,USA,2018,2,33,Villanova,NBA2k20,27,25.18626734842951
Kentavious Caldwell-Pope,76,1,Los Angeles Lakers,G,02/18/93,1.96,92.5,8089282,USA,2013,1,8,Georgia,NBA2k20,31,24.078508954602253
Jae Crowder,76,99,Miami Heat,F,07/06/90,1.98,106.6,7815533,USA,2012,2,34,Marquette,NBA2k20,33,27.191102948678704
Dewayne Dedmon,76,0,Atlanta Hawks,C,08/12/89,2.13,108.4,13333334,USA,2013,Undrafted,Undrafted,USC,NBA2k20,34,23.892966563071706
Gorgui Dieng,76,0,Memphis Grizzlies,C,01/18/90,2.08,104.3,16229213,Senegal,2013,1,21,Louisville,NBA2k20,34,24.107803254437865
Gerald Green,76,0,,F-G,01/26/86,1.98,87.1,2564753,USA,2005,1,18,,NBA2k20,38,22.217120701969186
